,title,view,favorite,coin,share,like
104,互联网用户运营｜拒绝职场PUA 裸辞竟然能赚这么多？？,182,3,2,2,4
105,2024 新 风口，会很吃 香的 行业！ 停止 内耗！ 为自己 打工！ 适合 性格内向的人,2167,84,14,97,37
106,西安软件测试可以去哪些公司呢？,135,2,0,0,4
107,2024新的风口，目前800块一小时，停止内耗，，为自己打工！！,262,25,16,8,23
108,四十一岁北漂程序员求职记之大结局 —— 大龄程序员上岸经验分享,40892,92,37,32,334
109,互联网大厂被裁员，来带华为节奏,5405,44,127,6,725
110,【软件测试面试】面上海六年测试开发期望15K，技术老旧细节全无，场面一度有点尴尬,5989,874,212,122,242
111,测试一下自己适不适合做程序员 ？,9166,98,33,23,315
112,【软件测试面试】面上海六年测试开发期望15K，技术老旧细节全无，场面一度有点尴尬,5989,874,212,122,242
113,测试一下自己适不适合做程序员 ？,9166,98,33,23,315
114,真实采访97年专科小伙销售转车载，薪资16K！,1069,5,0,1,9
115,在B站无脑抄书，27天收入2.4W，0成本人人可做，分享我的操作经验和方法。,14,7,2,1,7
116,收到一份99%会被刷掉的简历,68201,2923,777,378,2567
117,2024新的风口，目前900块一小时，停止内耗，，为自己打工！,1323,40,17,23,22
118,在b站无脑听歌赚钱，昨天收益923，0成本人人都能做！,136,12,1,8,15
119,双非二本拿下阿里、百度、美团、滴滴等大厂offer,41078,844,219,156,680
120,大型纪录片之《我在华为工作的四年》,740999,5138,1871,2571,20333
121,每天在b站抄书  一小时，30天 2.3w左右，操作简单分享经验，与实际操作过程！,30,10,4,7,7
122,全网首发！2023年下半年软考【中级】网工真题试卷--案例分析（学员回忆版）,5951,98,34,66,62
123,信息流文案爆款内部知识文章探析,20,1,0,0,0
124,大厂背调揭秘，一定要看，你肯定用得到,444,7,2,1,5
125,失业在家，靠这5个网站一个月赚了2.2W，不上班也有钱赚！,12754,714,80,35,255
