,title,view,favorite,coin,share,like
115,【教资面试结构化高分示范】面试高频时政题：谈谈你对四有青年的理解！,10085,258,7,15,214
116,如果我真的很想要呢？,36134,1151,343,113,3363
117,胆子越大，offer越多,29294,1101,140,152,1762
118,还在自杀型面试？2023年5个让你脱颖而出的面试秘诀,40057,4089,1139,359,2137
119,学会“若即若离法”，妈妈再也不用担心我找工作时被挖坑了,369457,24280,1549,342,23769
120,闫静社工课——社工面试真题/社工/初级社工/中级社工/社工考试/社会工作者/社区招聘/社区工作者/社工考研/社区工作者面试/面试,1509,60,0,8,20
121,5个找工作野路子,483873,51746,6329,5264,29745
122,面试大误区：不要过分强调你的强项，而是看...,10905,222,62,7,398
123,面试就是真实的课堂，要学会用上课的语言。,123926,3606,186,148,7069
124,教师资格证面试结构化题库中评分标准里的得分金句公开啦！,10956,536,86,57,636
125,计算机普本应届生面试6家公司，拿到5个offer，都因为简历上有它......,207,1,0,1,3
