,title,lyrics,time_public
295,三个傻瓜 (Live),三个傻瓜 (Live) - 五月天 (Mayday) 词：阿信 曲：怪兽 编曲：五月天/吴智晖 小小的个子 看着看着 看到张开嘴 那是第一个傻瓜 小小的心愿 想着想着 想要快上学 可不可以啊妈妈 一定有很多 老师同学 新书包书本 还有第一条手帕 没想到将会 用尽所有 精华的年华 但有谁能脱队吗 长大不是玩耍 不是画画 不能够玩沙 长大是学文法 是学书法 加法和减法 分不清 他傻瓜 你傻瓜 我傻瓜 谁傻瓜 傻不傻瓜 时间一样追杀 傻瓜 一转眼 就老花 一转眼 就白发 一转岁月 场景也都变化 傻瓜 只能 向前 走啊 不能谈恋爱 这么这么 认真就是他 登场第二个傻瓜 大人告诉他 别怕别怕 爱情和青春 会在未来等着他 所以他丢了 诗和天真 寒假和暑假 篮球漫画和吉他 他终于哭了 就在回忆那天 缺席了 最后一次凤凰花 世界如果平的 为何人们 都要往上爬 活着不是赢家 就是输家 你敢输掉吗 分不清 他傻瓜 你傻瓜 我傻瓜 谁傻瓜 傻不傻瓜 时间一样追杀 傻瓜 一转眼 就老花 一转眼 就白发 一转岁月 场景也都变化 傻瓜 还在 继续 挣扎 什么公式可以 让我找到 残缺的解答 什么句型可以 让我说出 悲伤的文法 十九年后换来五张证书 和半片天涯 终于发现我是 第一第二 第三个傻瓜 这故事 熟悉吗 走过吗 无奈吗 心痛吗 傻不傻瓜 代价一样无价 到最后 一转眼 就老花 一转眼 就白发 一转岁月 眼泪也都爆炸 只剩 三个 悲伤 傻瓜 只好 音量 加大,2013-09-27
296,起来 (Live),起来 (Live) - 五月天 (Mayday) 词：陈如山 曲：陈如山 起来 我要你看得见 再大的风雨 要用力飞 起来 或许你觉得累 记得我 在末日来临之前 海浪在退潮之前 将我消失在泡沫里面 我承受这份孤单 留下脚印在沙滩 远方灯火通明 让海和天一样黑 微风吹动风帆 失去引力向前追 突然间我才发现 前方灯塔已熄灭 我又被影子拉回地面 被夜晚冷却的沙滩 快乐悲伤浮在上边 无法抗拒这味道 让空气分割我的脸 忽然间我才了解 就在起飞的那一瞬间 我不能独自在海上漂浮 于是我闭上眼睛去抚摸 在黑暗中挣扎的光线 于是我又开始这疼痛感觉 起来 我要你看得见 再大的风雨 要用力飞 起来 或许你觉得累 记得我 在末日来临之前 感觉全身在颤抖 无法用心对齐你我的脚步 太多太快来不及去接受 太多太远太过份执着 鼓起勇气才看见失去理由 起来 我要你看得见 再大的风雨 要用力飞 起来 或许你觉得累 记得我 在末日来临之前 起来 我要你看得见 再大的风雨 要用力飞 起来 或许你觉得 觉得累 记得我 在末日来临之前 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 起来 记得我 在末日来临之前,2009-12-04
297,一颗苹果 (Live),一颗苹果 (Live) - 五月天 (Mayday) 词：阿信 曲：阿信 经过了漫长的等候 梦想是梦想 我还是一个我 那时间忘记挽留 最美时候 不经意匆匆的放过 曾经想拥抱的彩虹 盛开的花朵 那纯真的笑容 突然有风吹过 那一转眼只剩我 我不懂 人世间的那些愁 他为什么要缠著我 到底这会是谁的错 还是我不放手 喔人世间的那些愁 这世界给我的幽默 这是不是要告诉我 潮起终究潮落 总要有人来陪我 咽下苦果 喔再尝一点美梦 要等你先开口 那冬天才会走 有些人经过我身旁 住在我脑中 在我心里钻洞 有些人变成相片 堆在角落 灰尘像雪一般冰冻 时间如果可以倒流 我想我还是 会卯起来蹉跎 反正就这样吧 我知道我 努力过 我想到 遥远遥远的以后 会不会有人知道我 在这个寂寞的星球 曾这样的活过 喔遥远遥远的以后 天长和地久的尽头 应该没有人能抢走 我永远的感动 总要有一首我的歌 大声唱过 喔再看天地辽阔 活著不多不少 幸福刚好够用 活著其实很好 再吃一颗苹果 活著其实很好 再吃一颗苹果,2009-12-04
298,有些事现在不做一辈子都不会做了 (Intro Live),有些事现在不做一辈子都不会做了 (Intro Live) - 五月天 (Mayday) 词：阿信 曲：怪兽 每个平凡的自我 都曾幻想过 以你为名的小说 会是枯燥或是隽永 从前只想装懂 装作什么都懂 懂得生存的规则之后 却只想要都不懂 如果人类的脸 长得全都相同 那么你和人们的不同 就看你怎么过 想象你的白发皱纹 紧贴你的轮廓 你最终的朋友就是此刻 那些最疯最爱和最痛 每个平凡的自我 都曾幻想过 然而大多的自我 都紧抓着某个理由 每个渺小的理由 都困住自由 有些事情还不做 你的理由会是什么,2013-09-27
299,离开地球表面 (Life Live),离开地球表面 (Life Live) - 五月天/李荣浩 词：阿信 曲：阿信 编曲：五月天/周恒毅 MIDI 编写：阿信/石头/山地人 和声编写演唱：郑知明/五月天 OP：认真工作室 SP：相信音乐国际股份有限公司 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球 地球甩掉 只要越跳越高 丢掉手表 丢外套 丢掉背包 再丢唠叨 丢掉电视 丢电脑 丢掉大脑 再丢烦恼 冲啥大 冲啥小 冲啥都有人唱反调 恨得多 爱得少 只想越跳越疯 越跳越高 把地球甩掉 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要 再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球 地球甩掉 只要越跳越高 丢掉手表 丢外套 丢掉背包 再丢唠叨 丢掉电视 丢电脑 丢掉大脑 再丢烦恼 野心大 胆子小 跳舞还要靠别人教 恨得多 爱得少 只想越跳越疯 越跳越高 把地球甩掉 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要 再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球 地球甩掉 只要越跳越高 我甩掉地球 地球甩掉 只要越跳越高 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要 再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球 地球甩掉 只要越跳越高 我甩掉地球 地球甩掉 只要越跳越高 Jump Jump Jump Jump Jump Jump Jump Jump,2019-05-15
300,玛莎的小事 (Piano Live),玛莎的小事 (Piano Live) - 五月天 (Mayday) 词：阿信 曲：玛莎 我走过动荡日子 追过梦的放肆 穿过多少生死 却假装若无其事 穿过半座城市 只想看你样子 这一刻最重要的事 是属于你最小的事 世界纷纷扰扰喧喧闹闹 什么是真实 为你跌跌撞撞傻傻笑笑 买一杯果汁 就算庸庸碌碌匆匆忙忙 活过一辈子 也要分分秒秒年年日日 全心守护你 最小的事 最小的事 最小的事 这一生中到底在追什么呢 每一件最重要的小事 就像我 孤单的脚步声一样 一个脚步声虽然小 但是十个一百个一千个一万个 我们就能震荡地球了 跟我一起好吗 让我们一起震荡地球,2007-07-20
301,私奔到月球,私奔到月球 - 五月天 (Mayday) 词：阿信 曲：阿信 其实你 是个心狠又手辣的小偷 我的心 我的呼吸和名字都偷走 你才是 绑架我的凶手 机车后座的我 吹着风 逃离了平庸 这星球 天天有五十亿人在错过 多幸运 有你一起看星星在争宠 这一刻 不再问为什么 不再去猜测 人和人 心和心 有什么不同 一二三 牵着手 四五六 抬起头 七八九 我们私奔到月球 让双脚 去腾空 让我们 去感受 那无忧的真空 那月色纯真的感动 当你说 太聪明往往还是会寂寞 我笑着 倾听孤单终结后的静默 看月亮 像夜空的瞳孔 静静凝视你我 和我们扰攘的星球 靠近你 怎么突然两个人都词穷 让心跳 像是野火燎原般的汹涌 这一刻 让命运也沉默 让脚尖划过 天和天 地和地 缘分的宇宙 一二三 牵着手 四五六 抬起头 七八九 我们私奔到月球 让双脚 去腾空 让我们 去感受 那无忧的真空 那月色纯真的感动 一二三 牵着手 四五六 抬起头 七八九 我们私奔到月球 让双脚 去腾空 让我们 去感受 那无忧的真空 那月色纯真的感动 一二三 牵着手 四五六 抬起头 七八九 我们私奔到月球 让双脚 去腾空 让我们 去感受 那无忧的真空 那月色纯真的感动 Da la la la da da la la la,2008-04-25
302,噢买尬 (Live),噢买尬 (Live) - 五月天 (Mayday) 词：阿信 曲：阿信 噢买尬噢买尬 真的太久不见啦 我随时okay就等你电话 哭啊哭啊哭啊 哭到眼泪都干啦 哭到海滩只剩下沙 整个世界只剩下 你听我说话 一直到天黑也不回家 混啊混啊混啊 混到天空都老啦 计划依然没有变化 剩下我们说的 神话梦话废话 就这样陪着我到长大 噢买尬噢买尬 这是一定要的啦 喝到挂唱到哑 笑到流泪哭到趴 噢买尬噢买尬 真的太久不见啦 我随时okay就等你电话 巴黎铁塔东京铁塔 蛋塔金字塔 回忆慢慢积沙成塔 回忆回不去了 但你一起来了 一起到更远的未来吧 无猜无私无邪 无瑕的友情无价 你是买不到的奢华 天涯有天风景有风 浪花有花 再加上我有你就够啦 噢买尬噢买尬 这是一定要的啦 喝到挂唱到哑 笑到流泪哭到趴 噢买尬噢买尬 真的太久不见啦 我随时okay就等你电话 噢买尬噢买尬 这是一定要的啦 喝到挂唱到哑 笑到流泪哭到趴 噢买尬噢买尬 真的太久不见啦 我随时okay等你电话 老地方见等你电话 无时无刻等你的电话 我随时okay就等你电话,2009-03-20
303,志明与春娇+听妈妈的话+干杯+晴天+离开地球表面+双截棍 (Live),志明与春娇+听妈妈的话+干杯+晴天+离开地球表面+双截棍 (2013小巨蛋演唱会第三场) - 周杰伦/五月天 杰伦： 安静送给大家 《安静》 你要我说多难堪我根本不想分开 为什么还要我用微笑来带过 我没有这种天份包容你也接受他 不用担心的太多我会一直好好过 你已经远远离开我也会慢慢走开 为什么我连分开都迁就着你 我真的没有天份安静的没这么快 我会学着放弃你是因为我太爱你 麦阁我这爱你 你不爱我 杰伦： 五月天 《志明与春娇》 志明心情真正有影寒 风这大 你也真正拢没心肝 春娇你哪无要和我播 这出电影 咱就走到这位准嘟煞 走到淡水的海岸 两个人的爱情 已经无人看 已经无人听 啊 我跟你最好就到这 你对我已经没感觉 到这冻止 你也免爱我 我跟你最好就到这 你对我已经没感觉 麦阁伤心 麦阁我这爱你 你不爱我 杰伦： 噢 五月天 耶啊 杰伦： 哎呦 哇出道这么久了 好像还没跟五月天同台 阿信： 今天大家应该算是赚到了 杰伦： 感觉*不** 没关系你们就当作自己家 没关系 当作自己的演唱会 哎 可以睡在这边 然后衣服可以脱掉了 好不好 怪兽 哇 玛莎 哇 还有鼓手冠佑 哇 还有我们的石头 哇 还有我们的阿信 哇 我觉得这嗨的情绪啊 一首歌可能不够 音乐来一下 《听妈妈的话》 听妈妈的话 别让她受伤 想快快长大 才能保护她 《干杯》 如果说 要我选出 代表青春 那个画面 浮现了 那滴眼泪 那片蓝天 那年毕业 那一张 边哭边笑 还要拥抱 是你的脸 想起来 可爱可怜 可歌可泣 可是多怀念 怀念总是 突然怀念 不谈条件 当回忆 冲破考卷 冲出岁月 在我眼前 我和你 留着汗水 喝着汽水 在操场边 说好了 无论如何 一起走到 未来的世界 现在就是 那个未来 那个世界 为什么 你的身边 我的身边 不是同一边 友情曾像 诺亚方舟 坚强誓言 只是我 望着海面 等着永远 模糊了视线 会不会有一天 时间真的能倒退 退回 你的我的 回不去的 悠悠的岁月 也许会 有一天 世界真的有终点 也要和你举起回忆酿的甜 和你再干一杯 《晴天》 刮风这天我试过握着你手 但偏偏雨渐渐大到我看你不见 还要多久我才能在你身边 等到放晴的那天 也许我会比较好一点 从前从前有个人爱你很久 但偏偏风渐渐把距离吹得好远 好不容易又能再多爱一天 但故事的最后 你好像还是说了拜拜 《干杯》 会不会有一天 时间真的能倒退 退回 你的我的 回不去的 悠悠的岁月 也许会 有一天 世界真的有终点 也要和你举起回忆酿的甜 和你再干一杯 时间都停了 他们都回来了 怀念的人阿 等你的来到 时间都停了 他们都回来了 怀念的人啊 等你的来到 杰伦： 嘿 全部都跳起来 噢 《离开地球表面》 丢掉手表丢外套 丢掉背包再丢唠叨 丢掉电视丢电脑 丢掉大脑再丢烦恼 冲啥大冲啥小 冲啥都有人唱反调 恨得多爱得少 只想越跳越疯 越跳越高把地球甩掉 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球地球甩掉 只要越跳越高 噢 丢掉手表丢外套 丢掉背包再丢唠叨 丢掉电视丢电脑 丢掉大脑再丢烦恼 野心大胆子小 跳舞还要靠别人教 恨得多爱得少 只想越跳越疯 越跳越高把地球甩掉 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我甩掉地球地球甩掉 只要越跳越高 我甩掉地球地球甩掉 只要越跳越高 嘿 《双截棍》 岩烧店的烟味弥漫 隔壁是国术馆 店里面的妈妈桑 茶道 有三段 教拳脚武术的老板 练铁沙掌 耍杨家枪 硬底子功夫最擅长 还会金钟罩铁步衫 他们儿子我习惯 从小就耳濡目染 什么刀枪跟棍棒 我都耍的有模有样 什么兵器最喜欢 双截棍柔中带刚 杰伦： 尖叫声在哪里 只要越跳越高 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要再也不要 委屈自己一秒 一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉 我再也不要再也不要 只要越跳越高 我甩掉地球地球甩掉 只要越跳越高 《双截棍》 快使用双截棍 哼哼哈兮 快使用双截棍 哼哼哈兮 快使用双截棍 哼哼哈兮 快使用双截棍 哼哼哈兮 快使用双截棍 哼哼哈兮 快使用双截棍 哼哼哈兮 只要越跳越高,
304,Dancin' Dancin' (日文版),Dancin' Dancin' (日文版) (《伤心的人别听慢歌》日语版) - 五月天 (Mayday)/Teru 词：TAKURO(GLAY) 曲：阿信 時が来たと 風が告げる 見上げた空 鉛の色に曇る oh oh 白けた声 諦め顔 もう要らない 心のままにゆくよ oh oh 触れたら指に 髪に Ah すべて離したくない けれど 胸の奥 何かが叫ぶよ 夢にメラメラメラメラ 燃えてHigh 真っ当にDancin’ Dancin’ Dancin’ Dancin’ Hey! Watch Your Step たまにイライラしててもいんじゃない? 邪道なDancin’ Dancin’ Dancin’ Dancin’ 踊れよ 今の僕は嵐の中のFireballみたいさ 子供達は無邪気な目で 大人達を疑いだし始めた oh oh 許し合える?愛し合える 抱き合えたら２人ひとつになれる No No 誰もが騙し騙されて 街の闇に変わるのさ 君は‥君だけは 愛のまにまに 明日はバラ薔薇バラかも知れずに 僕はまだまだ永久を信じてる 地球はギリギリ 音をたてながら 最後の最後 何を語るのか? それでも人は砂漠の中に宝石 探してる 夢にメラメラメラメラ 燃えてHigh 真っ当にDancin’ Dancin’ Dancin’ Dancin’ Hey! Watch Your Step たまにイライラしててもいんじゃない? 邪道なDancin’ Dancin’ Dancin’ Dancin’ 踊れよ 今の僕は嵐の中のFireballみたいさー そして僕は世界の果てのFireballになるのさー,2013-11-13
305,笨小孩 (Life Live),笨小孩 (Life Live) - 五月天 (Mayday)/吴宗宪 (Jacky Wu) 词：刘德华 曲：高枫 编曲：渣泥/五月天 Midi 编写：渣泥 和声演唱：可乐 Cola Kai/黄士杰/郑知明 OP：East Asia Music Publishing Ltd. SP：Universal Ms Publ Ltd 宁静的小村外 有一个笨小孩 出生在陆零年代 十来岁到城市 不怕那太阳晒 努力在柒零年代 发现呀 城市里朋友们不用去灌溉 花自然会开 转眼间那么快 这一个笨小孩 又到了捌零年代 三十岁到头来 不算好也不坏 经过了玖零年代 最无奈 他自己总是会慢人家一拍 没有钱在那口袋 哎呀 往着胸口拍一拍呀 勇敢站起来 不用心情太坏 哎呀 向着天空拜一拜呀 别想不开 老天自有安排 他们说城市里 男不坏女不爱 怎么想也不明白 妈妈说真心爱 会爱得很精彩 结果我没有女孩 笨小孩 依然是坚强得像石头一块 只是晚上寂寞难耐 哎呀 往着胸口拍一拍呀 勇敢站起来 不用心情太坏 哎呀 向着天空拜一拜呀 别想不开 老天自有安排 哎呀 往着胸口拍一拍呀 勇敢站起来 管它上天下海 哎呀 向着天空拜一拜呀 别想不开 老天自有安排 老天爱笨小孩,2019-05-15
306,I'm in Love (Life Live),I'm in Love (Life Live) - 五月天/Teru 词：TAKURO 曲：TAKURO 编曲：五月天 钢琴演奏：周恒毅 和声演唱：郑知明/黄士杰 OP：Lover Soul Co. Ltd. SP：Universal Ms Publ Ltd 小さなポッケに ギュッとつまっていた 草の匂いの宝物達は かくれんぼ ほどけた靴紐 結んでくれた君を乗せ 真夏の高すぎる雲に向かって 小旅行 Lonely days we can fly まぶたの裏には あの日の僕ら Lonely nights we can fly いつでも何かに 傷ついてたね OK I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life 古びたアルバム 開いた僕は 若かった両親と 今じゃ歳もそう変わらない 昭和という時代に 僕らをかかえて走った そんな貴女の生きがいが 染みて泣きたくなる Lonely days we can fly 豊かな日々を 懐かしく思う Lonely nights we can fly OK Thank you for your love I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life We will rock you words from heaven We will rock you words from heaven We will rock you words from heaven Wo oh wo ohh We will rock you words from heaven We will rock you words from heaven We will rock you words from heaven Wo oh wo ohh I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love oh singin' my life I'm just in love I'm just in love I'm just in love,2019-05-15
307,约翰蓝侬 (Live),约翰蓝侬 (Live) - 五月天 (Mayday) 词：阿信/玛莎 曲：怪兽 那年冬天 子弹 它给了你自由 没了 躯壳 就活在人们心中 看着 今天 你会笑还是会摇头 整个世界 曾经 都跟着你做梦 如今 和平 依然在歌曲里头 猜忌 战火 还跟着我一起生活 能不能暂时把你的勇气给我 在梦想快消失的时候 让我的歌 用力地穿过天空 为我爱的人 做一秒英雄 一颗红豆 为何 想单挑这宇宙 都要 怪你 在我心中播了种 一把 吉他 就想对抗万千炮火 玩着游戏 出糗 喧闹的摄影棚 怪兽 石头 默默地吐在厕所 OK 再来 要世界为我们感动 能不能暂时把你的勇气给我 在梦想快消失的时候 让我的歌 用力地穿过天空 为爱我的人 做一秒英雄 能不能暂时把你的勇气给我 在梦想快消失的时候 让我的歌 用力地穿过天空 为我爱的人 做一秒英雄 能不能暂时把你的梦想给我 在勇气快消失的时候 总有一天 要人们叫我披头 最后没成功 也做过最美的梦 没有遗憾 最美的梦,2007-07-20
308,说好不哭 (Live),说好不哭（五月天/萧敬腾演唱会） - 五月天 (Mayday)/萧敬腾 (Jam Hsiao) 词：方文山 曲：周杰伦 电话开始躲 从不对我说 不习惯一个人生活 离开我以后 要我好好过 怕打扰想自由的我 都这个时候 你还在意着 别人是怎么怎么看我的 拼命解释着 不是我的错 是你要走 眼看着你难过 挽留的话却没有说 你会微笑放手 说好不哭让我走 电话开始躲 从不对我说 不习惯一个人生活 离开我以后 要我好好过 怕打扰想自由的我 都这个时候 你还在意着 别人是怎么怎么看我的 拼命解释着 不是我的错 是你要走 眼看着你难过 挽留的话却没有说 你会微笑放手 说好不哭让我走 你什么都没有 却还为我的梦加油 心疼过了多久 却还找理由等我 眼看着你难过 挽留的话却没有说 心疼过了多久 还在找理由等我,
309,叫我第一名 (Live),叫我第一名 (Live) - 五月天 (Mayday) 词：阿信 曲：阿信 你说我这款人可以冲啥 你说我最好丢进垃圾车 你说我这款人可以冲啥 电影看了吃宵夜搁去唱歌 吃饱困 困饱吃 你卖想这多 说到七桃 我就走 有什么代志 一定要计较输赢 啦 爱玩才会赢 啦 谁人倘跟我拼 啦 你问我叫啥米名 啦 叫我第一名 你说晚时倒垃圾早时堵车 你说寒天太寒热天太热 你说甲意的人无甲意你啦 你说人生的路那会这陡 吃饱困 困饱吃 你卖想这多 说到七桃 我就走 有什么代志 一定要计较输赢 啦 爱玩才会赢 啦 谁人倘跟我拼 啦 你问我叫啥米名 啦 叫我第一名 啦.....爱玩才会赢 啦.....谁人倘跟我拼 啦.....你问我叫啥米名 啦.....叫我第一名 啦啦啦啦,2013-09-27
310,刻在我心底的名字 (Live),刻在我心底的名字 (Live) - 五月天 (Mayday) 词：许媛婷/佳旺/陈文华 曲：许媛婷/佳旺/陈文华 Oublie-le 好几次我告诉我自己 越想努力赶上光的影 越无法抽离 而已 Je t&apos;aimais 刻骨铭心只有我自己 好不容易交出真心的勇气 你沉默的回应 是善意 刻在我心底的名字 忘记了时间这回事 于是谎言说了一次就一辈子 曾顽固跟世界对峙 觉得连呼吸都是奢侈 如果有下次 我会再爱一次 刻在我心底的名字 你藏在尘封的位置 要不是这样我怎么过一辈子 我住在霓虹的城市 握着飞向天堂的地址 你可以翱翔 可是我只能停滞 寻找你 茫茫人海却又想起你 好不容易离开思念的轨迹 回忆将我连系 到过去 刻在我心底的名字 忘记了时间这回事 既然决定爱上一次就一辈子 希望让这世界静止 想念才不会变得奢侈 如果有下次 我会再爱一次 刻在我心底的名字 你藏在尘封的位置 要不是这样我怎么过一辈子 我住在想你的城市 握着飞向天空的钥匙 你继续翱翔 还有我为你坚持 刻在我心底的名字 忘记了时间这回事 既然决定爱上一次就一辈子 希望让这世界静止 想念才不会变得奢侈 如果有下次 我会再爱一次,
311,我又初恋了 (Live),我又初恋了 (Live) - 五月天 (Mayday) 词：阿信 曲：怪兽 编曲：五月天 每一次从爱里离开 就像是心被切一块 切一块 下次再也不敢放胆爱 谁知道主歌才一半 桥段都还没唱出来 就突然 你的出现爆破了悲哀 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种 Feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到藉口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要藉口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 我吃了铁牛运功散 因为我内伤好犀利 好犀利 你的魔力真的好犀利 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种 Feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到藉口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要藉口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种 Feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到藉口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要藉口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 谁在乎喔 谁在乎喔 谁在乎,2007-07-20
312,明日,,2011-12-16
313,T1 21 31 21 (Bonus Track),T1 21 31 21 (Bonus Track) - 五月天 (Mayday) 词：阿信 曲：石头 学长说过 想把** 要会弹吉他 又帅又酷 又有才华 就是弹吉他 四大和弦 一套指法 速成弹吉他 吉他不难 学长他说 这样弹吉他 T 121 3121 T 121 3121 T 121 3121 T 121 3121 从小开始 就一直想 学会弹吉他 很多年后 回忆和我 一起弹吉他 悲伤快乐 任何时刻 都想弹吉他 废话少说 现在马上 开始弹吉他 T 121 3121 T 121 3121 T 121 3121 T 121 3121 提议而已尚翊二一 体验恶女善意恶意 替你恶心伤你和气 体力耐力擅自儿戏 时间都停了 他们都回来了 怀念的人阿 等你的来到 时间都停了 他们都回来了 怀念的人啊 等你的来到,2011-12-16
314,盛夏光年 × HIP HOP MAN (Life Live),"盛夏光年 × HIP HOP MAN (Life Live) - 五月天/欧阳靖 词：阿信 曲：阿信 曲：Dansonn 词：欧阳靖 编曲：五月天/欧阳靖 钢琴演奏：周恒毅 弦乐编写：李琪 弦乐演奏：李琪北京室内乐团 和声演唱：阿信/黄士杰/阿璞 (八三夭) OP：认真工作室 SP：相信音乐国际股份有限公司 OP：Dansonn Music Publishing OP：MC Jin Limited (Warner/Chappell Music, H.K. Ltd.) SP：Warner/Chappell Music Hong Kong Limited, Taiwan Branch 这个故事开始在公园外面 这个故事开始在公园外面 1973 真的很特别一年 在这个时候有一个东西出现 能够让整个世界改变 来自纽约的布朗克斯 有一个年轻人想到新的尝试 Two turntables mic check one two 他叫 Kool herc 他是嘻哈的教父 他主办的活动好像新鲜空气 当时最求名利和财富并不是冬季 生活环境不理想而不是哭 只可以希望通过音乐逃出 谁会猜到四十多年后 嘻哈的影响全球继续感受 你想充分了解这个东西 它的历史是最重要 Indeed 嘻哈是什么什么是嘻哈 不管你主流或者你地下 Yo 只要你尊重这个文化 我们个个都在同一个家 What is hip hop man yo yo (放弃规则) I am hiphop man yo yo (放纵去爱) What is hip hop man yo yo (放肆自己) 我们是 Hip hop 我们是 hip hop (放空未来) What is hip hop man yo yo (我不转弯) I am hip hop man yo yo (我不转弯) 我不转弯 我不转弯 我的故事开始在厨房里面 就是我爸妈开的外卖饭店 十三岁我在那里做帮手 但是我的心只能在想怎么走 什么会那么引起我的注意 一个还没听过的声音来自收音机 Yo yo check it out 我跟着他说 其实不是我找嘻哈是嘻哈找我 二十多年后那你看什么结果 没有什么能扑灭我里面的火 会有负面会有正面无论什么事情 说唱是社会最准确的反映 拿着麦克风我会奉献我的生命 面对什么困难 我都会是那么钟情 中国有嘻哈 欢迎你加入这个家庭 成为一分子我真的很荣幸 告诉你 嘻哈是什么什么是嘻哈 不管你主流或者你地下 Yo 只要你尊重这个文化 我们个个都在同一个家 What is hip hop man yo yo (放弃规则) I am hip hop man yo yo (放纵去爱) What is hip hop man yo yo (放肆自己) 我们是 hip hop 我们是 hip hop (放空未来) 我不转弯 我不转弯 我不转弯 我不转弯 I love hip hop 我们都在 同一个家 We love hip hop 我们都在 我们都在 嘻哈是什么什么是嘻哈 不管你主流或者你地下 Yo 只要你尊重这个文化 我们个个都在同一个家 What is hip hop man yo yo (我要 我疯 我要 我爱) I am hip hop man yo yo (我要 我疯 我要 我爱) What is hip hop man yo yo 我们是 hip hop 我们是 hip hop 嘻哈是什么什么是嘻哈 (我要 我疯 我要 我爱) 不管你主流或者你地下 (我要 我疯 我要 我爱) Yo 只要你尊重这个文化 我们个个都在同一个家 What is hip hop man yo yo (放弃规则) I am hip hop man yo yo (放纵去爱) What is hip hop man yo yo (放肆自己) 我们是 hip hop 我们是 hip hop (放空未来) 我不转弯 我不转弯 我不转弯 我不转弯 What is hip hop man yo yo 我们是 hip hop 我们是 hip hop What is hip hop man yo yo I am hip hop man yo yo What is hip hop man yo yo 我们是 hip hop 我们是 hip hop 我要 我疯 我要 我爱 我要 我疯 我要 我爱",2019-05-15
